Dashboard_API_Name__c,RecordTypeId,Record_Type_Id__c,Role_Name__c
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM ER Manager3 Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales APAC Team 3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM ER Rep2 Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM ER Manager2 Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep East China - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM Manager CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Manager CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,IN Lead MM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Manager Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM Manager Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager1 - UK
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager2 - UK
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,DE Core Leader
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales NA Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales EMEA Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE - FR
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Partner
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BDR Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - GA Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK - Growth - A1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,INTL
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,UK Core Leader
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Manager - ICE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ICE&LATAM Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - ICE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ICE Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,WE Core Leader
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - LATAM XB
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep - LATAM XB
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,LATAM XB Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CN Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep SZ & FJ - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep East China - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep GZ & West China - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep North China - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep B1 - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep A2 - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep A1 - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CN Lead MarketPlace
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager B1 - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep MP - CN
